nombre_estado_inegi,nombre_estado,cve_geo,pob_total_2020,pob_h_2020,pob_m_2020
Aguascalientes,Aguascalientes,01,1425607,696683,728924
Baja California,Baja California,02,3769020,1900589,1868431
Baja California Sur,Baja California Sur,03,798447,405879,392568
Campeche,Campeche,04,928363,456939,471424
Chiapas,Chiapas,07,5543828,2705947,2837881
Chihuahua,Chihuahua,08,3741869,1853822,1888047
Ciudad de México,Ciudad de México,09,9209944,4404927,4805017
Coahuila de Zaragoza,Coahuila,05,3146771,1563669,1583102
Colima,Colima,06,731391,360622,370769
Durango,Durango,10,1832650,904866,927784
Guanajuato,Guanajuato,11,6166934,2996454,3170480
Guerrero,Guerrero,12,3540685,1700612,1840073
Hidalgo,Hidalgo,13,3082841,1481379,1601462
Jalisco,Jalisco,14,8348151,4098455,4249696
México,Estado de México,15,16992418,8251295,8741123
Michoacán de Ocampo,Michoacán,16,4748846,2306341,2442505
Morelos,Morelos,17,1971520,950847,1020673
Nayarit,Nayarit,18,1235456,612278,623178
Nuevo León,Nuevo León,19,5784442,2890950,2893492
Oaxaca,Oaxaca,20,4132148,1974843,2157305
Puebla,Puebla,21,6583278,3160115,3423163
Querétaro,Querétaro,22,2368467,1156820,1211647
Quintana Roo,Quintana Roo,23,1857985,936779,921206
San Luis Potosí,San Luis Potosí,24,2822255,1372451,1449804
Sinaloa,Sinaloa,25,3026943,1494815,1532128
Sonora,Sonora,26,2944840,1472197,1472643
Tabasco,Tabasco,27,2402598,1173671,1228927
Tamaulipas,Tamaulipas,28,3527735,1736140,1791595
Tlaxcala,Tlaxcala,29,1342977,649894,693083
Veracruz de Ignacio de la Llave,Veracruz,30,8062579,3871774,4190805
Yucatán,Yucatán,31,2320898,1140279,1180619
Zacatecas,Zacatecas,32,1622138,791058,831080
Nacional,Nacional,00,126014024,61473390,64540634